,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0
2020-09-23 14:01:00,-0.5,1.5,-1.5,-0.5,-1.5,0.5,-1.0,1.5,1.5,-1.0,0.5,-1.0
2020-09-23 14:02:00,-0.6666666666666666,1.6666666666666667,-1.3333333333333333,0.0,-2.0,0.3333333333333333,-1.0,1.6666666666666667,1.3333333333333333,-0.6666666666666666,0.6666666666666666,-1.3333333333333333
2020-09-23 14:03:00,-0.75,2.0,-1.5,0.25,-2.0,0.0,-0.75,1.75,1.5,-0.5,0.75,-1.75
2020-09-23 14:04:00,-0.6,2.2,-1.8,0.2,-2.2,0.0,-0.6,1.8,1.8,-0.6,0.8,-1.8
2020-09-23 14:05:00,-0.6666666666666666,2.1666666666666665,-2.0,0.0,-2.5,0.0,-0.6666666666666666,1.8333333333333333,1.8333333333333333,-0.5,1.0,-1.6666666666666667
2020-09-23 14:06:00,-0.7142857142857143,2.0,-2.142857142857143,0.0,-2.5714285714285716,0.14285714285714285,-0.7142857142857143,2.0,2.0,-0.5714285714285714,1.1428571428571428,-1.7142857142857142
2020-09-23 14:07:00,-0.625,2.0,-2.375,-0.125,-2.75,0.25,-0.75,2.25,2.125,-0.75,1.125,-1.75
2020-09-23 14:08:00,-0.4444444444444444,2.0,-2.5555555555555554,-0.1111111111111111,-2.888888888888889,0.2222222222222222,-0.7777777777777778,2.5555555555555554,2.2222222222222223,-0.7777777777777778,1.1111111111111112,-1.8888888888888888
2020-09-23 14:09:00,-0.3,1.9,-2.7,-0.2,-3.1,0.3,-0.8,2.7,2.4,-0.9,1.0,-2.1
2020-09-23 14:10:00,-0.09090909090909091,1.9090909090909092,-2.727272727272727,-0.18181818181818182,-3.272727272727273,0.45454545454545453,-0.7272727272727273,2.8181818181818183,2.6363636363636362,-0.9090909090909091,1.0,-2.1818181818181817
